name;Add;Sub;Mult;Div;For;While;Print;Mod;If;Eq;Is
Binarni cislo;1.00;2.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
Binarni zapis;2.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;1.00;1.00;0.00
Ciferny soucet;1.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00
Cik-cak;0.00;0.00;0.00;0.00;2.00;0.00;4.00;2.00;2.00;2.00;0.00
Ctverec;2.00;2.00;3.00;0.00;1.00;0.00;3.00;0.00;0.00;0.00;0.00
Delitele;1.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;0.00
Dvojnasobek;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
Faktorial;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
Fibonacciho posloupnost;1.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00
Mocniny dvojky;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00
Nejdelsi slovo;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00
Nejvetsi spolecny delitel;1.00;0.00;0.00;0.00;1.00;0.00;0.00;2.00;1.00;2.00;0.00
Palindrom;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00
Pascaluv trojuhelnik;0.00;1.00;0.00;0.00;3.00;0.00;2.00;0.00;0.00;0.00;0.00
Pocet delitelu;2.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;1.00;1.00;0.00
Prvni pismena;2.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00;0.00
Sachovnice;1.00;0.00;0.00;0.00;2.00;0.00;3.00;1.00;1.00;1.00;0.00
Soucet;2.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
Suda cisla;1.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;0.00
Tajna posloupnost;2.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00
Vypis prvocisel;2.00;0.00;0.00;0.00;1.00;1.00;1.00;1.00;2.00;2.00;0.00
