name; break;%;*;+;-;/;==;^;for;if;print;try:;while
Binarni cislo;0;0;2;1;2;0;1;0;1;1;0;0;0
Binarni zapis;0;1;0;2;0;2;1;0;0;1;1;0;1
Caesarova sifra;0;0;0;3;1;0;1;0;1;1;0;0;1
Ciferny soucet;0;1;0;1;0;2;0;0;0;0;0;0;1
Cik-cak;0;1;0;0;0;0;1;0;1;1;3;0;0
Ctverec;0;0;8;7;2;0;0;0;0;0;1;0;0
Delitele;0;1;0;1;0;0;1;0;1;1;1;0;0
Diamant;0;0;0;3;2;0;0;0;2;1;3;0;0
Dvojnasobek;0;0;1;0;0;0;0;0;0;0;1;0;0
Faktorial;0;0;1;1;0;0;0;0;1;0;0;0;0
Fibonacciho posloupnost;0;0;0;1;0;0;0;0;1;0;1;0;0
Frekvencni analyza;0;0;0;2;1;0;0;0;3;2;1;0;0
Mocniny dvojky;0;0;1;0;0;0;0;0;1;0;1;0;0
Nejvetsi spolecny delitel;0;1;0;0;0;0;0;0;0;0;0;0;1
Palindrom;0;0;0;0;2;0;0;0;1;1;0;0;0
Pascaluv trojuhelnik;0;0;2;2;1;1;0;0;3;0;2;0;0
Pocet delitelu;0;1;0;1;0;0;1;0;1;1;0;0;0
Podmnoziny;0;0;4;1;0;0;1;0;4;2;2;0;0
Presmycky;0;0;0;0;0;0;1;0;0;1;4;0;0
Prvni pismena;0;0;0;1;1;0;2;0;1;1;0;0;0
Sachovnice;0;1;0;1;0;0;1;0;2;1;3;0;0
Soucet;0;0;0;1;0;0;0;0;0;0;0;0;0
Suda cisla;0;1;0;1;0;0;1;0;1;1;1;0;0
Tajna posloupnost;0;0;0;2;0;0;0;0;1;1;1;0;0
Transpozicni sifra;0;1;0;3;0;0;1;0;1;1;0;0;0
Trojuhelnik;0;0;0;0;1;0;0;0;2;0;2;0;0
Velke X;0;0;0;0;2;0;2;0;2;1;3;0;0
Vsechny presmicky;0;0;0;3;0;0;1;0;3;2;1;0;0
Vypis prvocisel;0;1;0;3;1;0;2;0;1;2;1;0;1
